Sr. No.,Symbol,Company Name
153,JSWINFRA,JSW Infrastructure Limited
154,POLICYBZR,PB Fintech Limited
155,ASHOKLEY,Ashok Leyland Limited
156,THERMAX,Thermax Limited
157,PHOENIXLTD,The Phoenix Mills Limited
158,GMRINFRA,GMR Airports Infrastructure Limited
159,TATAELXSI,Tata Elxsi Limited
160,PATANJALI,Patanjali Foods Limited
161,SJVN,SJVN Limited
162,PRESTIGE,Prestige Estates Projects Limited
163,ACC,ACC Limited
164,NYKAA,FSN E-Commerce Ventures Limited
165,SUNDARMFIN,Sundaram Finance Limited
166,UBL,United Breweries Limited
167,ABCAPITAL,Aditya Birla Capital Limited
168,MPHASIS,MphasiS Limited
169,BALKRISIND,Balkrishna Industries Limited
170,DIXON,Dixon Technologies (India) Limited
171,MAHABANK,Bank of Maharashtra
172,KALYANKJIL,Kalyan Jewellers India Limited
173,SCHAEFFLER,Schaeffler India Limited
174,AWL,Adani Wilmar Limited
175,APLAPOLLO,APL Apollo Tubes Limited
176,TATATECH,Tata Technologies Limited
177,SONACOMS,Sona BLW Precision Forgings Limited
178,KPITTECH,KPIT Technologies Limited
179,FACT,Fertilizers and Chemicals Travancore Limited
180,PSB,Punjab & Sind Bank
181,PETRONET,Petronet LNG Limited
182,L&TFH,L&T Finance Holdings Limited
183,UNOMINDA,UNO Minda Limited
184,PAGEIND,Page Industries Limited
185,MRPL,Mangalore Refinery and Petrochemicals Limited
186,AUBANK,AU Small Finance Bank Limited
187,MAZDOCK,Mazagon Dock Shipbuilders Limited
188,HUDCO,Housing & Urban Development Corporation Limited
189,GUJGASLTD,Gujarat Gas Limited
190,NIACL,The New India Assurance Company Limited
191,CRISIL,CRISIL Limited
192,AIAENG,AIA Engineering Limited
193,FEDERALBNK,The Federal Bank  Limited
194,IREDA,Indian Renewable Energy Development Agency Limited
195,VOLTAS,Voltas Limited
196,DALBHARAT,Dalmia Bharat Limited
197,POONAWALLA,Poonawalla Fincorp Limited
198,MEDANTA,Global Health Limited
199,IRB,IRB Infrastructure Developers Limited
200,3MINDIA,3M India Limited
201,MFSL,Max Financial Services Limited
202,M&MFIN,Mahindra & Mahindra Financial Services Limited
203,UPL,UPL Limited
204,HONAUT,Honeywell Automation India Limited
205,BSE,BSE Limited
206,FLUOROCHEM,Gujarat Fluorochemicals Limited
207,COFORGE,Coforge Limited
208,LICHSGFIN,LIC Housing Finance Limited
209,GLAXO,GlaxoSmithKline Pharmaceuticals Limited
210,DELHIVERY,Delhivery Limited
211,BDL,Bharat Dynamics Limited
212,STARHEALTH,Star Health and Allied Insurance Company Limited
213,FORTIS,Fortis Healthcare Limited
214,BIOCON,Biocon Limited
215,COROMANDEL,Coromandel International Limited
216,NLCINDIA,NLC India Limited
217,TATAINVEST,Tata Investment Corporation Limited
218,JKCEMENT,JK Cement Limited
219,IPCALAB,IPCA Laboratories Limited
220,METROBRAND,Metro Brands Limited
221,KEI,KEI Industries Limited
222,ESCORTS,Escorts Kubota Limited
223,LLOYDSME,Lloyds Metals And Energy Limited
224,GLAND,Gland Pharma Limited
225,IGL,Indraprastha Gas Limited
226,NAM-INDIA,Nippon Life India Asset Management Limited
227,APOLLOTYRE,Apollo Tyres Limited
228,JUBLFOOD,Jubilant Foodworks Limited
229,POWERINDIA,Hitachi Energy India Limited
230,MSUMI,Motherson Sumi Wiring India Limited
231,BANDHANBNK,Bandhan Bank Limited
232,DEEPAKNTR,Deepak Nitrite Limited
233,ZFCVINDIA,ZF Commercial Vehicle Control Systems India Limited
234,AJANTPHARM,Ajanta Pharma Limited
235,KPRMILL,K.P.R. Mill Limited
236,SYNGENE,Syngene International Limited
237,EIHOTEL,EIH Limited
238,APARINDS,Apar Industries Limited
239,NATIONALUM,National Aluminium Company Limited
240,TATACHEM,Tata Chemicals Limited
241,GLENMARK,Glenmark Pharmaceuticals Limited
242,HINDCOPPER,Hindustan Copper Limited
243,GODREJIND,Godrej Industries Limited
244,NH,Narayana Hrudayalaya Ltd.
245,BLUESTARCO,Blue Star Limited
246,EXIDEIND,Exide Industries Limited
247,ENDURANCE,Endurance Technologies Limited
248,JBCHEPHARM,JB Chemicals & Pharmaceuticals Limited
249,PAYTM,One 97 Communications Limited
250,ANGELONE,Angel One Limited
