S.No,Name,URL,Exchange Code,CMP Rs.,P/E,Mar Cap Rs.Cr.,Div Yld %,NP Qtr Rs.Cr.,Qtr Profit Var %,Sales Qtr Rs.Cr.,Qtr Sales Var %,ROCE %
603.,Transport Corp.,https://www.screener.in/company/TCI/consolidated/,TCI,1098.90,23.66,8557.82,0.86,91.60,10.57,1045.10,10.03,19.92
604.,Balu Forge,https://www.screener.in/company/BALUFORGE/consolidated/,BALUFORGE,812.80,76.73,8529.68,0.02,34.17,104.98,175.31,56.00,30.78
605.,Archean Chemical,https://www.screener.in/company/ACI/,ACI,691.20,30.83,8529.20,0.43,48.46,-48.54,211.16,-38.45,25.75
606.,Rajesh Exports,https://www.screener.in/company/RAJESHEXPO/consolidated/,RAJESHEXPO,287.70,223.37,8494.63,0.00,11.86,-96.17,60355.50,-29.56,3.23
607.,Texmaco Rail,https://www.screener.in/company/TEXRAIL/,TEXRAIL,211.83,61.15,8461.92,0.24,40.25,176.25,891.65,35.75,11.36
608.,Kirl.Pneumatic,https://www.screener.in/company/KIRLPNU/,KIRLPNU,1295.45,56.63,8398.06,0.50,26.90,50.03,275.27,13.64,21.72
609.,Kama Holdings,https://www.screener.in/company/532468/consolidated/,532468,2614.00,10.29,8388.48,1.35,251.20,-31.64,3500.74,4.11,13.56
610.,Star Cement,https://www.screener.in/company/STARCEMENT/consolidated/,STARCEMENT,205.97,35.75,8324.90,0.00,30.99,-66.77,751.01,-1.24,16.48
611.,Astra Microwave,https://www.screener.in/company/ASTRAMICRO/consolidated/,ASTRAMICRO,869.80,61.17,8258.32,0.23,7.20,206.82,155.18,16.04,18.77
612.,Medplus Health,https://www.screener.in/company/MEDPLUS/consolidated/,MEDPLUS,690.25,108.59,8251.74,0.00,14.34,280.37,1488.83,15.93,6.66
613.,Juniper Hotels,https://www.screener.in/company/JUNIPER/consolidated/,JUNIPER,367.90,176.76,8185.86,0.00,11.67,207.56,199.69,19.11,6.80
614.,Ethos Ltd,https://www.screener.in/company/ETHOSLTD/consolidated/,ETHOSLTD,3338.45,92.93,8172.67,0.00,22.80,25.55,273.25,18.79,14.91
615.,Powergrid Infra.,https://www.screener.in/company/PGINVIT/,PGINVIT,89.66,8.40,8159.05,,163.98,-23.94,177.32,-22.60,12.83
616.,Mastek,https://www.screener.in/company/MASTEK/consolidated/,MASTEK,2640.65,26.81,8149.56,0.72,71.50,2.01,812.89,12.08,18.01
617.,Shakti Pumps,https://www.screener.in/company/SHAKTIPUMP/consolidated/,SHAKTIPUMP,4053.75,34.80,8121.73,0.10,92.66,9166.00,567.56,402.00,31.40
618.,MOIL,https://www.screener.in/company/MOIL/,MOIL,398.20,22.56,8102.78,1.52,152.35,75.98,492.84,29.79,16.11
619.,Equinox India,https://www.screener.in/company/EMBDL/consolidated/,EMBDL,127.23,,8097.82,0.00,-28.24,46.12,387.24,97.70,-10.94
620.,Shilpa Medicare,https://www.screener.in/company/SHILPAMED/consolidated/,SHILPAMED,827.40,197.01,8091.22,0.00,14.06,1091.53,292.51,12.43,5.25
621.,Anupam Rasayan,https://www.screener.in/company/ANURAS/consolidated/,ANURAS,736.50,86.12,8089.32,0.17,12.22,-89.84,254.20,-34.21,9.00
622.,Chemplast Sanmar,https://www.screener.in/company/CHEMPLASTS/consolidated/,CHEMPLASTS,511.60,,8088.89,0.00,23.89,137.35,1144.89,14.90,-2.06
623.,Sundaram Fin.Hol,https://www.screener.in/company/SUNDARMHLD/consolidated/,SUNDARMHLD,363.35,14.09,8070.14,2.12,110.34,56.13,42.79,78.22,5.85
624.,Laxmi Organic,https://www.screener.in/company/LXCHEM/consolidated/,LXCHEM,290.65,68.96,8038.33,0.21,34.35,-10.38,718.17,-1.52,9.40
625.,Syrma SGS Tech.,https://www.screener.in/company/SYRMA/consolidated/,SYRMA,451.10,80.93,8010.86,0.33,20.35,-31.87,1159.89,92.89,9.84
626.,Garware Tech.,https://www.screener.in/company/GARFIBRES/consolidated/,GARFIBRES,4033.70,37.77,8008.17,0.07,46.78,8.89,336.25,3.25,23.07
627.,RattanIndia Pow.,https://www.screener.in/company/RTNPOWER/consolidated/,RTNPOWER,14.89,,7996.09,0.00,93.00,116.93,931.83,9.98,8.39
628.,Ujjivan Small,https://www.screener.in/company/UJJIVANSFB/,UJJIVANSFB,41.26,6.34,7980.44,3.64,301.08,-7.09,1577.18,22.56,11.09
629.,Electronics Mart,https://www.screener.in/company/EMIL/,EMIL,206.96,40.58,7962.76,0.00,72.50,20.31,1974.94,17.30,12.74
630.,Sandur Manganese,https://www.screener.in/company/SANDUMA/,SANDUMA,490.25,23.06,7943.76,0.20,146.35,267.71,601.67,65.96,15.16
631.,SpiceJet,https://www.screener.in/company/500285/,500285,61.84,,7925.94,0.00,149.96,-26.69,1695.52,-15.30,1.69
632.,INDIA SHELTE FIN,https://www.screener.in/company/INDIASHLTR/,INDIASHLTR,737.00,27.95,7915.59,0.00,83.33,77.45,251.27,38.24,12.23
633.,Garware Hi Tech,https://www.screener.in/company/GRWRHITECH/consolidated/,GRWRHITECH,3405.05,31.90,7910.75,0.29,88.35,102.22,474.47,24.96,13.96
634.,Arvind Fashions.,https://www.screener.in/company/ARVINDFASN/consolidated/,ARVINDFASN,591.40,98.52,7878.51,0.21,13.92,128.10,954.84,10.17,13.98
635.,Mahindra Holiday,https://www.screener.in/company/MHRIL/consolidated/,MHRIL,389.00,65.41,7856.80,0.00,6.08,3172.22,652.86,6.28,9.24
636.,Surya Roshni,https://www.screener.in/company/SURYAROSNI/,SURYAROSNI,720.85,21.66,7844.14,0.35,92.41,56.44,1893.08,0.96,20.81
637.,V-Mart Retail,https://www.screener.in/company/VMART/,VMART,3952.70,,7821.18,0.00,12.14,155.33,786.08,15.85,0.54
638.,Infibeam Avenues,https://www.screener.in/company/INFIBEAM/consolidated/,INFIBEAM,28.08,39.03,7811.86,0.18,69.63,173.49,752.75,1.40,6.27
639.,Welspun Enterp,https://www.screener.in/company/WELENT/consolidated/,WELENT,564.00,23.46,7806.54,0.53,109.73,12.09,907.25,29.84,18.40
640.,EPL Ltd,https://www.screener.in/company/EPL/consolidated/,EPL,245.00,30.86,7800.87,1.82,65.70,18.23,1007.40,10.68,15.09
641.,V I P Inds.,https://www.screener.in/company/VIPIND/consolidated/,VIPIND,548.05,13190.17,7782.20,0.36,4.04,-89.51,638.89,0.43,8.48
642.,Dilip Buildcon,https://www.screener.in/company/DBL/consolidated/,DBL,531.50,45.89,7771.33,0.19,139.77,870.67,3134.15,7.31,10.53
643.,TV18 Broadcast,https://www.screener.in/company/TV18BRDCST/consolidated/,TV18BRDCST,45.29,,7764.34,0.00,-120.03,-212.99,3069.32,-3.36,0.12
644.,Protean eGov,https://www.screener.in/company/544021/consolidated/,544021,1914.45,87.64,7746.73,0.52,21.09,-34.52,196.54,-10.83,14.30
645.,JK Paper,https://www.screener.in/company/JKPAPER/consolidated/,JKPAPER,453.65,8.07,7684.94,1.87,140.79,-54.73,1713.65,8.16,21.31
646.,Indo Count Inds.,https://www.screener.in/company/ICIL/consolidated/,ICIL,386.05,22.36,7645.89,0.57,77.80,5.51,941.43,26.97,18.30
647.,Ahluwalia Contr.,https://www.screener.in/company/AHLUCONT/consolidated/,AHLUCONT,1140.15,35.63,7637.59,0.04,30.56,-38.52,919.35,20.40,23.84
648.,Nazara Technolo.,https://www.screener.in/company/NAZARA/consolidated/,NAZARA,989.75,90.76,7575.71,0.00,23.62,16.05,250.08,-1.71,5.53
649.,T N Merc. Bank,https://www.screener.in/company/TMB/,TMB,477.20,6.88,7556.53,2.10,287.29,9.98,1281.15,10.84,7.18
650.,PC Jeweller,https://www.screener.in/company/PCJEWELLER/consolidated/,PCJEWELLER,161.61,,7521.39,0.00,156.06,190.93,401.15,492.72,-1.74
651.,TARC Ltd,https://www.screener.in/company/TARC/consolidated/,TARC,253.67,,7485.71,0.00,-30.67,-531.36,8.21,-86.96,1.91
652.,Hindustan Foods,https://www.screener.in/company/HNDFDS/consolidated/,HNDFDS,651.20,77.01,7461.02,0.00,27.25,16.60,868.08,40.18,15.38
653.,Gabriel India,https://www.screener.in/company/GABRIEL/,GABRIEL,518.40,38.43,7446.50,0.77,51.16,20.40,864.23,7.26,26.72
654.,Insolation Ener,https://www.screener.in/company/543620/consolidated/,543620,3567.85,134.60,7432.55,0.00,40.44,,458.77,,47.81
655.,Balaji Amines,https://www.screener.in/company/BALAMINES/consolidated/,BALAMINES,2286.60,37.92,7408.81,0.48,45.56,-17.90,384.75,-17.02,16.76
656.,Man Infra,https://www.screener.in/company/MANINFRA/consolidated/,MANINFRA,198.72,25.48,7396.12,0.82,84.39,-5.99,341.62,-32.97,29.39
657.,Sudarshan Chem.,https://www.screener.in/company/SUDARSCHEM/consolidated/,SUDARSCHEM,1067.55,61.63,7390.36,0.43,29.43,30.39,633.62,4.19,11.36
658.,Technocraf.Inds.,https://www.screener.in/company/TIIL/consolidated/,TIIL,3215.00,27.75,7382.18,0.00,83.89,-5.44,620.40,11.48,18.68
659.,Responsive Ind,https://www.screener.in/company/RESPONIND/consolidated/,RESPONIND,275.90,40.95,7355.73,0.04,48.38,63.89,319.90,21.56,15.16
660.,PDS,https://www.screener.in/company/PDSL/consolidated/,PDSL,521.70,50.52,7339.96,0.91,31.19,5.63,2621.06,23.93,17.47
661.,Suprajit Engg.,https://www.screener.in/company/SUPRAJIT/consolidated/,SUPRAJIT,529.60,42.59,7338.63,0.47,38.14,15.16,734.86,8.12,13.94
662.,Mishra Dhatu Nig,https://www.screener.in/company/MIDHANI/,MIDHANI,390.70,94.04,7319.37,0.36,5.11,-72.44,163.45,-12.93,9.44
663.,Sharda Motor,https://www.screener.in/company/SHARDAMOTR/,SHARDAMOTR,2440.90,22.96,7257.19,0.41,76.32,38.54,685.43,4.79,39.32
664.,Go Fashion (I),https://www.screener.in/company/GOCOLORS/,GOCOLORS,1340.05,85.01,7237.47,0.00,28.65,9.02,220.09,15.78,15.66
665.,IFB Industries,https://www.screener.in/company/IFBIND/,IFBIND,1783.95,68.78,7228.57,0.00,38.84,1376.81,1237.28,17.27,12.75
666.,Hind.Construct.,https://www.screener.in/company/HCC/consolidated/,HCC,42.93,,7211.73,0.00,-2.46,-105.64,1815.95,-5.74,21.43
667.,eMudhra,https://www.screener.in/company/EMUDHRA/consolidated/,EMUDHRA,862.25,92.46,7140.44,0.14,18.20,14.57,92.44,15.91,17.66
668.,Ami Organics,https://www.screener.in/company/AMIORG/consolidated/,AMIORG,1744.50,112.02,7139.80,0.17,14.69,-29.26,176.67,14.93,15.99
669.,Dodla Dairy,https://www.screener.in/company/DODLA/consolidated/,DODLA,1176.15,36.06,7095.46,0.00,65.02,85.93,911.60,10.71,22.08
670.,Kesoram Inds.,https://www.screener.in/company/KESORAMIND/consolidated/,KESORAMIND,228.31,,7093.23,0.00,-62.02,-91.18,878.91,-12.01,11.00
671.,Piccadily Agro,https://www.screener.in/company/530305/consolidated/,530305,751.65,79.95,7091.01,0.03,13.07,19.58,195.69,-10.57,29.59
672.,Indigo Paints,https://www.screener.in/company/INDIGOPNTS/,INDIGOPNTS,1480.25,49.03,7051.13,0.24,26.46,-15.44,293.95,6.11,23.18
673.,Diamond Power,https://www.screener.in/company/DIACABS/consolidated/,DIACABS,1330.70,404.64,7012.40,0.00,16.56,201.63,223.86,200.69,
674.,KRBL,https://www.screener.in/company/KRBL/consolidated/,KRBL,305.15,14.32,6984.57,1.31,86.56,-55.53,1199.18,-15.21,15.85
675.,Ganesh Housing,https://www.screener.in/company/GANESHHOUC/consolidated/,GANESHHOUC,836.10,16.87,6971.99,1.32,113.84,-29.44,214.14,-20.82,45.01
676.,Share India Sec.,https://www.screener.in/company/SHAREINDIA/consolidated/,SHAREINDIA,332.45,15.60,6968.27,0.54,102.96,25.20,414.18,49.36,41.80
677.,Kennametal India,https://www.screener.in/company/505890/,505890,3166.50,68.76,6959.41,0.95,30.30,62.03,302.40,8.27,19.50
678.,Bansal Wire Inds,https://www.screener.in/company/BANSALWIRE/,BANSALWIRE,444.30,105.09,6955.78,0.00,25.96,50.00,676.61,23.49,16.87
679.,Orchid Pharma,https://www.screener.in/company/ORCHPHARMA/consolidated/,ORCHPHARMA,1371.25,62.35,6954.86,0.00,29.35,212.23,244.41,33.62,9.37
680.,ICRA,https://www.screener.in/company/ICRA/consolidated/,ICRA,7176.05,47.34,6925.77,1.39,35.89,-11.88,114.82,11.79,21.38
681.,SPARC,https://www.screener.in/company/SPARC/,SPARC,212.67,,6901.60,0.00,-96.84,-1.56,16.81,-29.81,-109.10
682.,Jindal Worldwide,https://www.screener.in/company/JINDWORLD/consolidated/,JINDWORLD,343.85,86.16,6894.89,0.06,18.06,31.92,492.49,19.91,9.83
683.,NIIT Learning,https://www.screener.in/company/NIITMTS/consolidated/,NIITMTS,506.20,30.80,6876.73,1.04,60.02,11.28,407.23,6.51,33.64
684.,Dhanuka Agritech,https://www.screener.in/company/DHANUKA/consolidated/,DHANUKA,1505.25,26.90,6860.68,0.93,48.90,48.45,493.58,33.74,26.93
685.,Paradeep Phosph.,https://www.screener.in/company/PARADEEP/consolidated/,PARADEEP,83.65,30.26,6815.62,0.60,5.38,104.49,2377.43,-22.16,6.74
686.,Optiemus Infra.,https://www.screener.in/company/OPTIEMUS/consolidated/,OPTIEMUS,791.15,114.14,6792.59,0.19,12.14,29.29,492.66,74.96,15.44
687.,Gokaldas Exports,https://www.screener.in/company/GOKEX/consolidated/,GOKEX,949.20,53.97,6778.06,0.11,27.18,-16.50,932.13,81.12,10.76
688.,Gulf Oil Lubric.,https://www.screener.in/company/GULFOILLUB/,GULFOILLUB,1371.05,20.59,6751.16,2.63,88.02,28.87,885.07,9.04,27.21
689.,Inox Green,https://www.screener.in/company/INOXGREEN/consolidated/,INOXGREEN,208.39,253.38,6722.48,0.00,4.14,-76.26,50.86,-10.09,3.67
690.,Ceigall India,https://www.screener.in/company/CEIGALL/consolidated/,CEIGALL,384.75,22.69,6702.53,0.13,77.85,76.49,822.39,26.49,29.84
691.,NESCO,https://www.screener.in/company/NESCO/,NESCO,950.50,18.79,6697.22,0.63,69.79,-8.29,141.35,3.48,22.39
692.,Jai Corp,https://www.screener.in/company/JAICORPLTD/consolidated/,JAICORPLTD,375.00,109.65,6691.85,0.13,13.73,148.19,120.92,4.65,3.85
693.,Ashoka Buildcon,https://www.screener.in/company/ASHOKA/consolidated/,ASHOKA,236.05,12.17,6626.47,0.00,157.93,121.99,2465.39,27.40,27.14
694.,Allcargo Logist.,https://www.screener.in/company/ALLCARGO/consolidated/,ALLCARGO,67.07,275.73,6591.52,1.49,4.28,-93.29,3812.81,16.56,3.32
695.,GMM Pfaudler,https://www.screener.in/company/GMMPFAUDLR/consolidated/,GMMPFAUDLR,1452.30,43.29,6529.14,0.14,23.88,-52.23,785.20,-13.93,19.08
696.,Rolex Rings,https://www.screener.in/company/ROLEXRINGS/,ROLEXRINGS,2391.05,37.09,6511.62,0.00,49.91,3.03,310.76,-0.18,28.05
697.,Borosil Renew.,https://www.screener.in/company/BORORENEW/consolidated/,BORORENEW,498.10,,6502.49,0.00,-14.24,-55.77,370.79,4.60,-3.94
698.,VST Industries,https://www.screener.in/company/VSTIND/,VSTIND,382.70,23.95,6500.59,3.56,53.58,-35.99,321.33,-3.59,32.24
699.,South Ind.Bank,https://www.screener.in/company/SOUTHBANK/,SOUTHBANK,24.80,5.58,6488.34,1.21,294.13,45.36,2314.41,14.29,6.19
700.,Easy Trip Plann.,https://www.screener.in/company/EASEMYTRIP/,EASEMYTRIP,36.58,32.46,6482.12,0.27,34.29,30.93,105.90,3.48,43.36
701.,Greenlam Industr,https://www.screener.in/company/GREENLAM/consolidated/,GREENLAM,506.10,51.69,6456.51,0.33,19.89,-39.73,604.71,17.36,12.08
702.,Bondada Engineer,https://www.screener.in/company/543971/consolidated/,543971,597.75,144.31,6456.32,0.01,31.44,,505.00,,35.53
703.,KKRRAFTON Develo,https://www.screener.in/company/521238/,521238,660.00,1129.97,6452.13,0.00,2.54,,54.05,,8.55
704.,Refex Industries,https://www.screener.in/company/REFEX/consolidated/,REFEX,531.45,63.50,6415.17,0.02,29.35,37.21,595.12,55.66,26.39
705.,Thangamayil Jew.,https://www.screener.in/company/THANGAMAYL/,THANGAMAYL,2336.75,52.91,6411.85,0.43,56.56,-3.50,1222.06,27.28,20.29
706.,Rallis India,https://www.screener.in/company/RALLIS/,RALLIS,329.40,48.44,6405.81,0.76,48.00,-23.81,783.00,0.13,11.20
707.,TD Power Systems,https://www.screener.in/company/TDPOWERSYS/consolidated/,TDPOWERSYS,409.95,50.40,6402.75,0.27,35.35,32.65,273.78,24.28,25.37
708.,Aditya Vision,https://www.screener.in/company/540205/,540205,497.35,69.01,6399.06,0.18,53.08,41.85,888.78,38.61,21.75
709.,D B Corp,https://www.screener.in/company/DBCORP/consolidated/,DBCORP,356.10,13.65,6344.19,3.65,117.87,49.66,589.85,6.43,25.12
710.,Magellanic Cloud,https://www.screener.in/company/538891/consolidated/,538891,108.35,57.64,6331.92,0.03,26.51,39.28,132.17,-4.07,26.98
711.,Ujaas Energy,https://www.screener.in/company/UEL/,UEL,480.00,131.13,6318.08,0.00,3.82,165.19,6.29,-12.40,14.04
712.,Prince Pipes,https://www.screener.in/company/PRINCEPIPE/,PRINCEPIPE,568.10,36.11,6280.97,0.18,24.67,25.74,604.47,9.20,14.71
713.,Lux Industries,https://www.screener.in/company/LUXIND/,LUXIND,2081.80,41.79,6260.32,0.10,34.56,88.85,535.30,2.80,11.39
714.,GHCL,https://www.screener.in/company/GHCL/consolidated/,GHCL,650.50,12.02,6228.85,1.84,150.63,-36.80,830.49,-18.47,20.63
715.,AGI Greenpac,https://www.screener.in/company/AGI/,AGI,959.30,24.72,6206.42,0.63,63.23,-0.41,566.33,1.41,17.73
716.,Natl.Fertilizer,https://www.screener.in/company/NFL/consolidated/,NFL,125.71,23.47,6167.08,0.21,-8.69,92.84,5091.78,0.86,6.70
717.,Sterlite Tech.,https://www.screener.in/company/STLTECH/consolidated/,STLTECH,126.21,,6155.88,0.79,-48.00,-206.82,1218.00,-19.97,4.80
718.,Pilani Invest.,https://www.screener.in/company/PILANIINVS/consolidated/,PILANIINVS,5542.90,35.34,6137.24,0.27,32.51,28.50,61.75,12.81,2.01
719.,Lloyds Enterpris,https://www.screener.in/company/512463/consolidated/,512463,48.04,52.81,6111.30,0.21,16.93,-23.15,323.18,113.66,6.77
720.,Kovai Medical,https://www.screener.in/company/523323/,523323,5559.70,31.28,6082.31,0.18,45.75,47.34,315.10,14.74,22.61
721.,PTC India,https://www.screener.in/company/PTC/consolidated/,PTC,204.99,11.82,6067.91,3.81,150.76,20.61,4685.59,-1.53,9.64
722.,Rain Industries,https://www.screener.in/company/RAIN/consolidated/,RAIN,180.20,,6061.03,0.55,-44.86,-127.08,4094.15,-11.52,1.90
723.,Jana Small Finan,https://www.screener.in/company/JSFB/,JSFB,579.50,8.08,6061.01,0.00,170.56,88.76,1167.06,31.88,8.61
724.,Johnson Con. Hit,https://www.screener.in/company/JCHAC/,JCHAC,2216.20,218.64,6025.85,0.00,36.15,188.13,995.96,75.60,-7.35
725.,SIS,https://www.screener.in/company/SIS/consolidated/,SIS,417.85,36.56,6023.48,0.00,64.22,-28.25,3129.86,5.14,10.34
726.,Gujarat Alkalies,https://www.screener.in/company/GUJALKALI/consolidated/,GUJALKALI,814.60,,5982.42,2.89,-44.53,22.10,977.30,7.06,-3.83
727.,India Infr Trust,https://www.screener.in/company/542543/consolidated/,542543,90.00,7.34,5976.00,,133.07,,1378.37,,10.84
728.,J Kumar Infra,https://www.screener.in/company/JKIL/,JKIL,783.10,17.32,5925.37,0.51,86.42,18.66,1281.50,13.27,18.44
729.,Orient Cement,https://www.screener.in/company/ORIENTCEM/,ORIENTCEM,286.80,33.67,5875.64,0.78,36.71,-0.86,696.27,-15.62,16.13
730.,Guj. Ambuja Exp,https://www.screener.in/company/GAEL/,GAEL,127.82,16.67,5862.73,0.27,76.74,8.28,1090.44,-6.24,16.51
731.,Pricol Ltd,https://www.screener.in/company/PRICOLLTD/consolidated/,PRICOLLTD,479.20,37.87,5840.56,0.00,45.56,42.64,619.93,15.40,24.53
732.,I T D C,https://www.screener.in/company/ITDC/consolidated/,ITDC,676.70,88.37,5804.02,0.37,11.82,-31.92,84.91,-28.15,31.40
733.,Health.Global,https://www.screener.in/company/HCG/consolidated/,HCG,415.60,128.83,5792.91,0.00,13.63,230.96,525.58,14.09,8.92
734.,Hemisphere Prop,https://www.screener.in/company/HEMIPROP/,HEMIPROP,202.50,,5771.25,0.00,-2.10,-18.64,0.20,66.67,-1.37
735.,Privi Speci.,https://www.screener.in/company/PRIVISCL/,PRIVISCL,1474.60,46.04,5760.19,0.14,32.21,548.09,441.16,8.89,12.41
736.,Advanced Enzyme,https://www.screener.in/company/ADVENZYMES/consolidated/,ADVENZYMES,514.45,38.81,5752.79,0.99,34.97,18.54,154.52,4.92,15.16
737.,Neogen Chemicals,https://www.screener.in/company/NEOGEN/consolidated/,NEOGEN,2174.35,153.46,5736.30,0.09,11.47,17.64,179.95,9.14,9.38
738.,Entero Healthcar,https://www.screener.in/company/ENTERO/consolidated/,ENTERO,1314.25,107.93,5716.17,0.00,20.53,221.79,1097.04,22.00,6.71
739.,Tilaknagar Inds.,https://www.screener.in/company/TI/consolidated/,TI,295.85,36.76,5708.61,0.17,40.09,55.69,313.16,2.98,22.12
740.,Heritage Foods,https://www.screener.in/company/HERITGFOOD/consolidated/,HERITGFOOD,608.45,38.09,5646.17,0.41,58.43,249.04,1032.67,11.80,16.20
741.,Le Travenues,https://www.screener.in/company/IXIGO/consolidated/,IXIGO,144.62,147.03,5615.10,0.00,14.86,40.55,181.88,16.17,6.53
742.,Restaurant Brand,https://www.screener.in/company/RBA/consolidated/,RBA,112.62,,5610.73,0.00,-52.19,2.22,646.69,5.88,-4.68
743.,R Systems Intl.,https://www.screener.in/company/RSYSTEMS/consolidated/,RSYSTEMS,474.05,39.43,5608.17,1.27,24.88,72.42,432.04,6.21,26.08
744.,Network People,https://www.screener.in/company/NPST/consolidated/,NPST,2888.25,150.60,5599.16,0.00,15.62,202.71,58.86,140.44,83.46
745.,Aarti Pharma,https://www.screener.in/company/AARTIPHARM/consolidated/,AARTIPHARM,613.25,24.67,5557.64,0.49,55.45,17.75,555.49,21.19,16.62
746.,Paisalo Digital,https://www.screener.in/company/PAISALO/consolidated/,PAISALO,61.35,30.32,5509.50,0.16,41.49,8.02,186.55,36.99,14.06
747.,CSB Bank,https://www.screener.in/company/CSBBANK/,CSBBANK,314.85,9.97,5462.20,0.00,113.32,-14.30,832.02,21.73,6.94
748.,MAS FINANC SER,https://www.screener.in/company/MASFIN/consolidated/,MASFIN,300.35,20.50,5449.95,0.50,72.56,26.00,364.34,24.32,11.70
749.,Zaggle Prepaid,https://www.screener.in/company/ZAGGLE/,ZAGGLE,443.10,92.57,5432.71,0.00,16.72,711.65,252.21,112.87,17.25
750.,Kirloskar Indus.,https://www.screener.in/company/KIRLOSIND/consolidated/,KIRLOSIND,5415.40,26.60,5391.40,0.24,66.15,-29.64,1558.96,3.36,10.68
751.,Cyient DLM,https://www.screener.in/company/CYIENTDLM/,CYIENTDLM,676.90,80.73,5368.23,0.00,10.67,99.07,257.89,18.76,14.08
752.,MTAR Technologie,https://www.screener.in/company/MTARTECH/,MTARTECH,1738.40,130.42,5347.25,0.00,4.54,-77.08,128.23,-15.73,11.38
753.,Kaveri Seed Co.,https://www.screener.in/company/KSCL/consolidated/,KSCL,1036.50,16.98,5331.66,0.48,291.18,5.84,803.23,9.12,21.76
754.,Orissa Minerals,https://www.screener.in/company/ORISSAMINE/,ORISSAMINE,8871.20,340.11,5322.72,0.00,-2.08,86.05,13.87,307.94,14.93
755.,Skipper,https://www.screener.in/company/SKIPPER/,SKIPPER,485.70,57.60,5313.23,0.02,31.59,125.32,1091.74,96.86,20.33
756.,Bharat Bijlee,https://www.screener.in/company/BBL/,BBL,4579.60,39.81,5176.38,0.76,23.93,-5.53,374.76,-15.11,10.62
757.,Orient Electric,https://www.screener.in/company/ORIENTELEC/,ORIENTELEC,241.85,93.50,5160.25,0.62,14.34,-27.17,754.86,6.98,14.24
758.,Rossari Biotech,https://www.screener.in/company/ROSSARI/consolidated/,ROSSARI,932.80,37.82,5157.38,0.05,34.90,19.44,489.65,19.25,18.10
759.,Bharat Hig.InvIT,https://www.screener.in/company/BHINVIT/consolidated/,BHINVIT,116.34,347.95,5153.15,,111.08,65441.18,127.15,,
760.,Bajaj Hindusthan,https://www.screener.in/company/BAJAJHIND/consolidated/,BAJAJHIND,40.01,,5110.72,0.00,-67.05,25.07,1385.68,1.88,0.80
761.,Utkarsh Small F.,https://www.screener.in/company/UTKARSHBNK/,UTKARSHBNK,46.40,9.69,5110.35,1.08,137.40,27.81,965.92,34.06,9.64
762.,Team Lease Serv.,https://www.screener.in/company/TEAMLEASE/consolidated/,TEAMLEASE,3045.15,50.14,5106.38,0.00,19.37,-24.81,2579.85,18.80,13.06
763.,Heidelberg Cem.,https://www.screener.in/company/HEIDELBERG/,HEIDELBERG,223.99,32.68,5075.91,3.57,39.90,-23.74,532.19,-10.65,16.07
764.,Grauer & Weil,https://www.screener.in/company/505710/consolidated/,505710,111.90,31.69,5073.67,0.45,50.71,37.43,264.09,31.87,26.06
765.,Vaibhav Global,https://www.screener.in/company/VAIBHAVGBL/consolidated/,VAIBHAVGBL,304.50,38.89,5058.18,1.97,27.45,-7.17,756.01,14.85,14.05
766.,Sharda Cropchem,https://www.screener.in/company/SHARDACROP/consolidated/,SHARDACROP,560.60,34.22,5057.76,0.54,27.25,130.74,785.11,23.11,4.27
767.,VRL Logistics,https://www.screener.in/company/VRLLOG/,VRLLOG,578.10,74.14,5056.55,0.86,13.44,-60.41,727.21,7.86,10.70
768.,Uflex,https://www.screener.in/company/UFLEX/consolidated/,UFLEX,699.90,22.77,5053.98,0.14,-98.43,174.29,3653.75,12.14,6.50
769.,Gopal Snacks,https://www.screener.in/company/GOPAL/,GOPAL,402.85,52.56,5019.69,0.06,24.30,-14.32,354.32,11.25,32.00
770.,Dynamatic Tech.,https://www.screener.in/company/DYNAMATECH/consolidated/,DYNAMATECH,7389.15,99.61,5018.30,0.14,11.39,-55.40,346.28,-4.48,10.46
771.,Wonderla Holiday,https://www.screener.in/company/WONDERLA/,WONDERLA,883.05,36.54,4995.71,0.28,63.24,-25.13,172.90,-6.36,19.76
772.,Jayaswal Neco,https://www.screener.in/company/JAYNECOIND/,JAYNECOIND,51.19,30.50,4970.54,0.00,-31.68,-213.10,1437.56,-1.84,14.11
773.,AWFIS Space,https://www.screener.in/company/AWFIS/consolidated/,AWFIS,702.10,,4929.57,0.00,2.79,133.57,257.74,37.31,9.18
774.,Northern ARC,https://www.screener.in/company/NORTHARC/consolidated/,NORTHARC,304.60,15.94,4915.61,0.00,,,,,11.24
775.,Shaily Engineer.,https://www.screener.in/company/SHAILY/consolidated/,SHAILY,1069.95,79.03,4907.59,0.09,17.41,38.17,179.39,14.04,14.12
776.,E2E Networks,https://www.screener.in/company/E2E/,E2E,3379.30,195.51,4895.53,0.00,10.14,45.48,41.33,112.38,25.03
777.,Subros,https://www.screener.in/company/SUBROS/consolidated/,SUBROS,748.95,41.04,4885.83,0.24,34.99,158.04,809.82,16.82,16.34
778.,Patel Engineerin,https://www.screener.in/company/PATELENG/consolidated/,PATELENG,57.69,21.15,4871.21,0.00,54.73,26.06,1101.66,-1.52,13.86
779.,SG Mart,https://www.screener.in/company/512329/,512329,433.70,55.83,4859.83,0.00,27.25,2028.91,1136.96,653.65,14.52
