S.No,Name,URL,Exchange Code,CMP Rs.,P/E,Mar Cap Rs.Cr.,Div Yld %,NP Qtr Rs.Cr.,Qtr Profit Var %,Sales Qtr Rs.Cr.,Qtr Sales Var %,ROCE %
39.,Zomato Ltd,https://www.screener.in/company/ZOMATO/consolidated/,ZOMATO,283.90,416.62,250807.91,0.00,253.00,12550.00,4206.00,74.09,1.14
40.,JSW Steel,https://www.screener.in/company/JSWSTEEL/consolidated/,JSWSTEEL,1005.55,35.31,245902.62,0.73,867.00,-63.86,42943.00,1.73,13.30
41.,I O C L,https://www.screener.in/company/IOC/consolidated/,IOC,171.36,7.85,241981.54,7.00,3722.63,-75.56,193844.91,-2.37,21.14
42.,DLF,https://www.screener.in/company/DLF/consolidated/,DLF,924.00,80.48,228718.80,0.54,644.67,22.54,1362.35,-4.28,5.74
43.,Jio Financial,https://www.screener.in/company/JIOFIN/consolidated/,JIOFIN,349.85,140.21,222269.65,0.00,312.63,-5.81,417.82,0.89,1.55
44.,Hindustan Zinc,https://www.screener.in/company/HINDZINC/,HINDZINC,517.00,26.72,218448.99,5.61,2358.00,19.70,8130.00,11.65,46.25
45.,Bharat Electron,https://www.screener.in/company/BEL/consolidated/,BEL,290.50,50.12,212349.07,0.76,791.28,46.89,4243.57,20.11,34.61
46.,Tata Steel,https://www.screener.in/company/TATASTEEL/consolidated/,TATASTEEL,165.61,128.15,206739.69,2.17,918.57,102.84,54771.39,-7.93,7.02
47.,I R F C,https://www.screener.in/company/IRFC/,IRFC,156.85,31.81,204979.52,0.96,1576.83,1.30,6765.63,1.29,5.73
48.,Varun Beverages,https://www.screener.in/company/VBL/consolidated/,VBL,626.85,84.05,203643.34,0.16,1261.83,26.04,7196.86,28.25,28.82
49.,Vedanta,https://www.screener.in/company/VEDL/consolidated/,VEDL,501.75,31.25,196203.72,6.98,5095.00,142.03,35764.00,6.02,20.91
50.,SBI Life Insuran,https://www.screener.in/company/SBILIFE/,SBILIFE,1898.30,93.59,190195.22,0.14,519.52,36.34,34653.74,24.23,13.23
51.,Interglobe Aviat,https://www.screener.in/company/INDIGO/,INDIGO,4867.55,24.08,188014.57,0.00,2726.70,-11.68,19570.70,17.31,24.53
52.,Grasim Inds,https://www.screener.in/company/GRASIM/consolidated/,GRASIM,2745.85,33.96,184786.65,0.36,2267.74,-24.21,33860.75,9.00,9.30
53.,LTIMindtree,https://www.screener.in/company/LTIM/consolidated/,LTIM,6164.05,40.00,182562.59,1.05,1135.10,-1.54,9142.60,5.06,31.17
54.,A B B,https://www.screener.in/company/ABB/,ABB,8070.40,106.26,171018.53,0.29,443.49,49.63,2830.86,12.84,30.69
55.,Pidilite Inds.,https://www.screener.in/company/PIDILITIND/consolidated/,PIDILITIND,3289.65,89.11,167316.04,0.49,571.27,21.10,3395.35,3.67,29.74
56.,Hindalco Inds.,https://www.screener.in/company/HINDALCO/consolidated/,HINDALCO,734.65,15.06,165091.76,0.48,3074.00,33.31,57013.00,7.59,11.29
57.,Power Fin.Corpn.,https://www.screener.in/company/PFC/consolidated/,PFC,480.45,7.65,158553.39,2.81,7182.06,21.13,24716.76,17.65,9.85
58.,Tech Mahindra,https://www.screener.in/company/TECHM/consolidated/,TECHM,1606.95,62.47,157215.88,2.49,864.80,22.96,13005.50,-1.17,11.88
59.,HDFC Life Insur.,https://www.screener.in/company/HDFCLIFE/consolidated/,HDFCLIFE,729.55,95.95,157015.30,0.27,478.97,14.94,26933.85,15.24,6.61
60.,Ambuja Cements,https://www.screener.in/company/AMBUJACEM/consolidated/,AMBUJACEM,625.15,48.42,153982.16,0.32,789.63,-28.63,8311.48,-4.61,14.05
61.,Tata Power Co.,https://www.screener.in/company/TATAPOWER/consolidated/,TATAPOWER,476.05,41.42,152114.14,0.42,1188.63,18.72,17293.62,13.67,11.13
62.,GAIL (India),https://www.screener.in/company/GAIL/consolidated/,GAIL,230.57,13.43,151602.07,2.39,3183.35,77.63,34737.77,5.94,14.66
63.,Britannia Inds.,https://www.screener.in/company/BRITANNIA/consolidated/,BRITANNIA,6254.10,68.35,150641.44,1.18,504.88,14.84,4250.29,5.97,48.92
64.,Samvardh. Mothe.,https://www.screener.in/company/MOTHERSON/consolidated/,MOTHERSON,212.98,47.06,149859.01,0.38,1097.18,65.46,28867.96,28.52,13.68
65.,B P C L,https://www.screener.in/company/BPCL/consolidated/,BPCL,345.10,7.68,149721.82,6.09,2841.55,-72.40,113094.92,0.10,32.09
66.,Godrej Consumer,https://www.screener.in/company/GODREJCP/consolidated/,GODREJCP,1422.30,82.92,145486.35,1.05,450.69,24.59,3331.58,-3.40,19.02
67.,REC Ltd,https://www.screener.in/company/RECLTD/consolidated/,RECLTD,544.10,9.79,143273.72,2.94,3460.19,16.58,13078.66,17.78,10.05
68.,Divi's Lab.,https://www.screener.in/company/DIVISLAB/consolidated/,DIVISLAB,5379.30,85.31,142803.51,0.56,430.00,20.79,2118.00,19.12,16.48
69.,Cholaman.Inv.&Fn,https://www.screener.in/company/CHOLAFIN/consolidated/,CHOLAFIN,1641.75,37.73,137976.65,0.12,947.15,33.41,5812.31,41.77,10.41
70.,Macrotech Devel.,https://www.screener.in/company/LODHA/consolidated/,LODHA,1385.35,71.54,137875.64,0.16,475.90,166.42,2846.50,75.99,11.06
71.,TVS Motor Co.,https://www.screener.in/company/TVSMOTOR/consolidated/,TVSMOTOR,2891.10,80.19,137356.16,0.28,484.82,6.12,10406.86,14.92,14.68
72.,Eicher Motors,https://www.screener.in/company/EICHERMOT/consolidated/,EICHERMOT,4994.25,32.71,136872.77,1.02,1101.46,19.94,4393.05,10.20,31.14
73.,Shriram Finance,https://www.screener.in/company/SHRIRAMFIN/consolidated/,SHRIRAMFIN,3628.45,18.04,136425.82,1.24,2030.64,18.23,9604.98,20.02,11.27
74.,JSW Energy,https://www.screener.in/company/JSWENERGY/consolidated/,JSWENERGY,776.40,69.64,135696.74,0.26,534.16,79.99,2879.46,-1.65,8.59
75.,Bajaj Housing,https://www.screener.in/company/BAJAJHFL/,BAJAJHFL,157.89,75.93,131493.11,0.00,482.61,4.51,2208.65,25.26,9.42
76.,Cipla,https://www.screener.in/company/CIPLA/consolidated/,CIPLA,1621.80,29.54,130971.21,0.80,1175.46,18.05,6693.94,5.77,22.80
77.,Bank of Baroda,https://www.screener.in/company/BANKBARODA/consolidated/,BANKBARODA,245.15,6.66,126775.94,3.10,4764.03,6.19,31143.01,11.21,6.33
78.,Havells India,https://www.screener.in/company/HAVELLS/consolidated/,HAVELLS,2022.05,91.12,126766.17,0.45,407.51,41.95,5806.21,20.12,24.40
79.,Adani Energy Sol,https://www.screener.in/company/ADANIENSOL/consolidated/,ADANIENSOL,1036.70,114.78,124536.97,0.00,-1190.66,-29.88,5378.55,46.80,9.00
80.,Hero Motocorp,https://www.screener.in/company/HEROMOTOCO/consolidated/,HEROMOTOCO,6051.45,29.77,121016.97,1.90,1032.21,26.70,10210.79,15.36,29.09
81.,Bajaj Holdings,https://www.screener.in/company/BAJAJHLDNG/consolidated/,BAJAJHLDNG,10815.30,16.13,120363.47,1.21,1614.51,13.77,133.76,28.53,13.07
82.,Tata Consumer,https://www.screener.in/company/TATACONSUM/consolidated/,TATACONSUM,1213.45,90.43,120059.17,0.64,289.25,-5.90,4352.07,16.33,10.65
83.,United Spirits,https://www.screener.in/company/UNITDSPR/consolidated/,UNITDSPR,1644.60,84.68,119620.12,0.55,485.00,-0.96,2761.00,3.52,27.87
84.,Punjab Natl.Bank,https://www.screener.in/company/PNB/consolidated/,PNB,107.29,10.06,118137.19,1.40,3991.38,196.25,29144.54,13.52,5.46
85.,CG Power & Ind,https://www.screener.in/company/CGPOWER/consolidated/,CGPOWER,772.10,131.20,118014.57,0.17,241.24,22.70,2227.52,18.86,46.63
86.,Torrent Pharma.,https://www.screener.in/company/TORNTPHARM/consolidated/,TORNTPHARM,3412.30,69.02,115482.55,0.82,457.00,20.90,2859.00,10.34,23.16
87.,IndusInd Bank,https://www.screener.in/company/INDUSINDBK/,INDUSINDBK,1452.70,12.60,113164.33,1.14,2152.16,1.34,12546.77,16.94,7.93
88.,ICICI Pru Life,https://www.screener.in/company/ICICIPRULI/consolidated/,ICICIPRULI,782.20,130.04,112981.74,0.08,224.34,8.80,25396.07,8.61,8.75
89.,Dr Reddy's Labs,https://www.screener.in/company/DRREDDY/consolidated/,DRREDDY,6744.40,20.22,112548.49,0.59,1392.40,-0.90,7696.10,13.88,26.53
90.,ICICI Lombard,https://www.screener.in/company/ICICIGI/,ICICIGI,2257.50,52.95,111648.54,0.27,580.37,48.68,5601.35,18.78,22.52
