No.,Symbol,Company Name,Market Cap,Stock Price,% Change,Revenue
812,NRIX,"Nurix Therapeutics, Inc.",1.49B,23.19,-0.09%,62.30M
813,KURA,"Kura Oncology, Inc.",1.49B,19.45,-0.05%,-
814,INMD,InMode Ltd.,1.48B,17.48,1.66%,416.63M
815,NAMS,NewAmsterdam Pharma Company N.V.,1.47B,16.29,2.87%,7.42M
816,SONO,"Sonos, Inc.",1.46B,12.11,0.62%,1.57B
817,OPEN,Opendoor Technologies Inc.,1.46B,2.08,-0.48%,4.54B
818,BUSE,First Busey Corporation,1.46B,25.65,-0.39%,436.32M
819,MCRI,"Monarch Casino & Resort, Inc.",1.45B,78.84,-0.13%,510.95M
820,IRON,"Disc Medicine, Inc.",1.45B,48.87,1.71%,-
821,PRDO,Perdoceo Education Corporation,1.45B,22.1,1.19%,662.85M
822,AMWD,American Woodmark Corporation,1.45B,93.59,2.54%,1.81B
823,MTTR,"Matterport, Inc.",1.45B,4.54,-0.33%,162.28M
824,DVAX,Dynavax Technologies Corporation,1.45B,11.04,1.71%,249.69M
825,SABR,Sabre Corporation,1.44B,3.75,1.77%,2.98B
826,AHCO,AdaptHealth Corp.,1.44B,11.04,7.18%,3.26B
827,MRTN,"Marten Transport, Ltd.",1.44B,17.65,2.20%,1.04B
828,SYRE,"Spyre Therapeutics, Inc.",1.44B,28.21,-2.93%,-
829,BLTE,"Belite Bio, Inc",1.43B,46.82,-0.06%,-
830,BLMN,"Bloomin' Brands, Inc.",1.43B,16.85,-0.47%,4.59B
831,TWKS,"Thoughtworks Holding, Inc.",1.43B,4.42,0.34%,1.03B
832,SRCE,1st Source Corporation,1.43B,58.2,-0.27%,367.02M
833,XNCR,"Xencor, Inc.",1.42B,20.33,-0.64%,133.62M
834,DAWN,"Day One Biopharmaceuticals, Inc.",1.42B,14.22,-0.49%,8.19M
835,HELE,Helen of Troy Limited,1.42B,62.19,4.56%,1.95B
836,UNIT,Uniti Group Inc.,1.42B,5.81,6.91%,1.16B
837,IMKTA,"Ingles Markets, Incorporated",1.41B,74,0.48%,5.83B
838,SASR,"Sandy Spring Bancorp, Inc.",1.41B,31.15,-0.32%,395.98M
839,VBTX,"Veritex Holdings, Inc.",1.40B,25.77,-0.62%,363.13M
840,SGML,Sigma Lithium Corporation,1.40B,12.61,-0.79%,215.17M
841,CLOV,"Clover Health Investments, Corp.",1.39B,2.8,-2.43%,2.09B
842,UPWK,Upwork Inc.,1.39B,10.54,2.23%,743.73M
843,TCBK,TriCo Bancshares,1.39B,42.14,0.78%,388.27M
844,ATRC,"AtriCure, Inc.",1.39B,28.45,0.11%,429.95M
845,IART,Integra LifeSciences Holdings Corporation,1.38B,17.85,2.18%,1.57B
846,SPRY,"ARS Pharmaceuticals, Inc.",1.38B,14.26,-1.72%,500.00K
847,SDGR,"Schrödinger, Inc.",1.37B,18.83,-0.48%,200.63M
848,CIFR,Cipher Mining Inc.,1.37B,4.08,-1.57%,158.67M
849,OCUL,"Ocular Therapeutix, Inc.",1.36B,8.71,-0.80%,61.10M
850,DCBO,Docebo Inc.,1.36B,44.33,-1.75%,200.24M
851,CSGS,"CSG Systems International, Inc.",1.36B,48.05,-,1.17B
852,WINA,Winmark Corporation,1.35B,384.79,-0.03%,82.59M
853,BCAX,Bicara Therapeutics Inc.,1.35B,24.84,-3.35%,-
854,OCSL,Oaktree Specialty Lending Corporation,1.35B,16.41,1.86%,388.87M
855,SAVA,"Cassava Sciences, Inc.",1.34B,27.93,-12.37%,-
856,SEDG,"SolarEdge Technologies, Inc.",1.33B,23.42,8.37%,1.51B
857,OPRA,Opera Limited,1.33B,15.01,2.39%,427.25M
858,PLAY,"Dave & Buster's Entertainment, Inc.",1.32B,33.63,1.71%,2.21B
859,COMM,"CommScope Holding Company, Inc.",1.32B,6.11,1.83%,5.09B
860,FUFU,BitFuFu Inc.,1.32B,4.42,4.09%,423.70M
861,GIII,"G-III Apparel Group, Ltd.",1.32B,29.99,-0.93%,3.09B
862,XRX,Xerox Holdings Corporation,1.31B,10.57,1.44%,6.50B
863,ADEA,Adeia Inc.,1.31B,12.02,0.50%,359.02M
864,WABC,Westamerica Bancorporation,1.31B,48.98,0.08%,312.49M
865,MOMO,Hello Group Inc.,1.31B,7.4,2.83%,1.55B
866,ANGI,Angi Inc.,1.30B,2.62,-2.79%,1.27B
867,NMFC,New Mountain Finance Corporation,1.29B,11.99,1.27%,372.54M
868,ESTA,Establishment Labs Holdings Inc.,1.29B,46.21,12.16%,151.35M
869,WOOF,"Petco Health and Wellness Company, Inc.",1.28B,4.67,1.30%,6.22B
870,MXL,"MaxLinear, Inc.",1.27B,15.2,-0.69%,448.14M
871,MFIC,MidCap Financial Investment Corporation,1.26B,13.4,0.44%,277.61M
872,RBCAA,"Republic Bancorp, Inc.",1.25B,64.57,0.63%,317.42M
873,NEXT,NextDecade Corporation,1.24B,4.8,0.10%,-
874,EVO,Evotec SE,1.24B,3.56,2.01%,844.79M
875,INDV,Indivior PLC,1.24B,10.1,1.81%,1.15B
876,KARO,Karooooo Ltd.,1.24B,40.23,-1.52%,227.97M
877,SSRM,SSR Mining Inc.,1.24B,6,-2.52%,1.23B
878,BTDR,Bitdeer Technologies Group,1.24B,8.4,5.01%,420.89M
879,COLL,"Collegium Pharmaceutical, Inc.",1.24B,38.4,-0.17%,576.65M
880,LBPH,"Longboard Pharmaceuticals, Inc.",1.23B,31.68,1.52%,-
881,TARS,"Tarsus Pharmaceuticals, Inc.",1.23B,32.39,-2.31%,83.37M
882,KRNT,Kornit Digital Ltd.,1.23B,25.88,2.78%,208.21M
883,PDFS,"PDF Solutions, Inc.",1.23B,31.75,-0.78%,166.45M
884,BELFA,Bel Fuse Inc.,1.23B,97.8,-2.69%,559.99M
885,ACMR,"ACM Research, Inc.",1.23B,19.62,1.63%,693.56M
886,QCRH,"QCR Holdings, Inc.",1.23B,72.77,-0.15%,336.45M
887,TYRA,"Tyra Biosciences, Inc.",1.22B,23.21,-0.83%,-
888,AVDL,Avadel Pharmaceuticals plc,1.22B,12.71,0.87%,95.15M
889,FORTY,Formula Systems (1985) Ltd.,1.22B,79.41,-0.71%,2.66B
890,INVA,"Innoviva, Inc.",1.22B,19.47,2.80%,330.50M
891,SAFT,"Safety Insurance Group, Inc.",1.21B,81.78,-0.46%,1.03B
892,RLAY,"Relay Therapeutics, Inc.",1.21B,7.46,0.81%,35.21M
893,IMTX,Immatics N.V.,1.21B,11.74,0.09%,75.94M
894,COHU,"Cohu, Inc.",1.21B,25.69,0.47%,500.35M
895,DMLP,"Dorchester Minerals, L.P.",1.20B,29.92,2.18%,155.58M
896,CSWC,Capital Southwest Corporation,1.20B,25.51,1.71%,189.13M
897,XPEL,"XPEL, Inc.",1.19B,43.23,1.48%,408.24M
898,HDL,Super Hi International Holding Ltd.,1.19B,17.61,-2.11%,734.53M
899,COGT,"Cogent Biosciences, Inc.",1.19B,10.87,-0.28%,-
900,GYRE,"Gyre Therapeutics, Inc.",1.19B,12.73,-0.55%,111.59M
901,PHAT,"Phathom Pharmaceuticals, Inc.",1.19B,17.41,-2.30%,9.92M
902,HUT,Hut 8 Corp.,1.19B,13.02,3.05%,171.99M
903,SCVL,"Shoe Carnival, Inc.",1.18B,43.49,0.44%,1.23B
904,FSUN,FirstSun Capital Bancorp,1.18B,42.75,0.11%,342.97M
905,MRVI,"Maravai LifeSciences Holdings, Inc.",1.18B,8.32,-0.54%,278.59M
906,KALU,Kaiser Aluminum Corporation,1.17B,73.16,0.05%,2.98B
907,UDMY,"Udemy, Inc.",1.16B,7.74,-4.86%,765.47M
908,MSEX,Middlesex Water Company,1.15B,64.37,1.10%,174.99M
909,LZ,"LegalZoom.com, Inc.",1.15B,6.54,-1.14%,677.51M
910,ELVN,"Enliven Therapeutics, Inc.",1.15B,24.24,0.50%,-
911,SCSC,"ScanSource, Inc.",1.14B,47.57,-1.20%,3.26B
912,CRAI,"CRA International, Inc.",1.14B,168.12,-0.81%,652.40M
913,ANIP,"ANI Pharmaceuticals, Inc.",1.14B,58.29,-0.03%,538.95M
914,ADV,Advantage Solutions Inc.,1.13B,3.54,1.00%,4.07B
915,GABC,"German American Bancorp, Inc.",1.13B,38.16,-0.91%,246.85M
916,BLFS,"BioLife Solutions, Inc.",1.13B,24.44,1.12%,139.96M
917,WGS,GeneDx Holdings Corp.,1.13B,41.85,3.02%,243.66M
918,SGH,"SMART Global Holdings, Inc.",1.12B,21.23,0.38%,1.18B
919,TRNS,"Transcat, Inc.",1.12B,122.79,-1.89%,265.59M
920,CMPO,"CompoSecure, Inc.",1.12B,13.59,2.72%,409.36M
921,ULH,"Universal Logistics Holdings, Inc.",1.12B,42.5,0.77%,1.77B
922,SILK,"Silk Road Medical, Inc",1.12B,27.49,-,191.43M
923,ECPG,"Encore Capital Group, Inc.",1.12B,47.14,-0.26%,1.27B
924,JBSS,"John B. Sanfilippo & Son, Inc.",1.11B,95.65,-0.23%,1.07B
925,TBLA,Taboola.com Ltd.,1.11B,3.3,0.92%,1.62B
926,AMPL,"Amplitude, Inc.",1.10B,8.93,1.13%,287.96M
927,CALT,Calliditas Therapeutics AB (publ),1.10B,40,-0.10%,151.09M
928,DCOM,"Dime Community Bancshares, Inc.",1.10B,27.99,0.02%,320.39M
929,CCEC,Capital Clean Energy Carriers Corp.,1.09B,18.75,-2.48%,393.20M
930,TVTX,"Travere Therapeutics, Inc.",1.09B,14.29,-4.99%,177.64M
931,SDA,SunCar Technology Group Inc.,1.08B,10.45,-2.52%,407.45M
932,ARQT,"Arcutis Biotherapeutics, Inc.",1.08B,9.25,0.93%,132.06M
933,AOSL,Alpha and Omega Semiconductor Limited,1.08B,37.19,-1.61%,657.27M
934,ICHR,"Ichor Holdings, Ltd.",1.08B,32.02,0.68%,804.85M
935,GDYN,"Grid Dynamics Holdings, Inc.",1.08B,14.04,0.21%,318.34M
936,PRTA,Prothena Corporation plc,1.08B,20.01,-0.65%,217.25M
937,ASTL,Algoma Steel Group Inc.,1.08B,10.31,0.05%,1.91B
938,ULCC,"Frontier Group Holdings, Inc.",1.07B,4.78,-1.44%,3.61B
939,TILE,"Interface, Inc.",1.07B,18.38,-0.30%,1.27B
940,TASK,"TaskUs, Inc.",1.07B,12.05,-1.79%,925.29M
941,CSIQ,Canadian Solar Inc.,1.07B,16.13,8.22%,6.51B
942,OCFC,OceanFirst Financial Corp.,1.07B,18.3,0.16%,376.06M
943,PFBC,Preferred Bank,1.07B,79.96,0.60%,263.71M
944,REAX,The Real Brokerage Inc.,1.07B,5.56,-1.16%,937.50M
945,QNST,"QuinStreet, Inc.",1.06B,18.97,1.78%,613.51M
946,ACDC,ProFrac Holding Corp.,1.06B,6.65,3.50%,2.22B
947,OPK,"OPKO Health, Inc.",1.06B,1.54,3.02%,716.37M
948,VNET,"VNET Group, Inc.",1.06B,3.96,9.86%,1.06B
949,PWP,Perella Weinberg Partners,1.05B,19.28,0.26%,725.53M
950,PLSE,"Pulse Biosciences, Inc.",1.05B,17.08,1.12%,-
951,IGMS,"IGM Biosciences, Inc.",1.05B,17.63,11.16%,2.91M
952,WVE,Wave Life Sciences Ltd.,1.05B,8.38,4.49%,110.50M
953,PRAX,"Praxis Precision Medicines, Inc.",1.04B,58.71,1.59%,1.77M
954,TRS,TriMas Corporation,1.04B,25.63,0.99%,912.50M
955,PNTG,"The Pennant Group, Inc.",1.04B,34.4,-0.82%,611.81M
956,ARRY,"Array Technologies, Inc.",1.04B,6.82,5.74%,1.10B
957,PEBO,Peoples Bancorp Inc.,1.03B,29.75,0.13%,434.19M
958,BELFB,Bel Fuse Inc.,1.03B,77.26,-1.92%,559.99M
959,CBRL,"Cracker Barrel Old Country Store, Inc.",1.03B,46.5,1.17%,3.47B
960,AMRK,"A-Mark Precious Metals, Inc.",1.03B,44.96,0.51%,9.70B
961,AUPH,Aurinia Pharmaceuticals Inc.,1.03B,7.21,0.70%,207.11M
962,CMCO,Columbus McKinnon Corporation,1.03B,35.7,1.22%,1.02B
963,VIR,"Vir Biotechnology, Inc.",1.02B,7.49,2.53%,78.88M
964,ATSG,"Air Transport Services Group, Inc.",1.02B,15.65,3.10%,2.01B
965,PLYA,Playa Hotels & Resorts N.V.,1.02B,7.85,0.06%,980.60M
966,EOLS,"Evolus, Inc.",1.01B,16,-2.13%,237.26M
967,CECO,CECO Environmental Corp.,1.01B,28.85,0.91%,566.96M
968,SBGI,"Sinclair, Inc.",1.01B,15.16,1.88%,3.22B
969,PHVS,Pharvaris N.V.,1.00B,18.56,-1.75%,-
970,CGEM,"Cullinan Therapeutics, Inc.",1.00B,17.27,-0.17%,-
971,AVAH,Aveanna Healthcare Holdings Inc.,998.97M,5.17,-3.00%,1.95B
972,BITF,Bitfarms Ltd.,998.44M,2.25,2.05%,172.70M
973,HTZ,"Hertz Global Holdings, Inc.",994.61M,3.25,1.72%,9.32B
974,SBSI,"Southside Bancshares, Inc.",994.25M,32.85,-0.03%,240.49M
975,UXIN,Uxin Limited,993.65M,5.29,87.03%,204.61M
976,FWRD,Forward Air Corporation,990.83M,35.77,0.70%,1.86B
977,ERII,"Energy Recovery, Inc.",986.52M,17.09,-0.35%,133.51M
978,DGII,Digi International Inc.,986.49M,27.09,1.31%,431.16M
979,GCT,GigaCloud Technology Inc.,986.47M,23.85,9.71%,984.85M
980,ODP,The ODP Corporation,985.60M,29.35,2.09%,7.40B
981,NRDS,"NerdWallet, Inc.",983.05M,12.49,-0.72%,599.00M
982,SHLS,"Shoals Technologies Group, Inc.",979.05M,5.88,3.07%,454.70M
983,SANA,"Sana Biotechnology, Inc.",977.74M,4.4,2.93%,-
984,HIMX,"Himax Technologies, Inc.",974.98M,5.58,-1.76%,913.37M
985,ANAB,"AnaptysBio, Inc.",970.02M,32.12,-1.20%,30.47M
986,SEZL,Sezzle Inc.,966.09M,172.52,-2.42%,192.69M
987,FIP,FTAI Infrastructure Inc.,960.10M,9.14,0.33%,329.57M
988,BBSI,"Barrett Business Services, Inc.",959.12M,36.7,0.48%,1.10B
989,SBC,SBC Medical Group Holdings Incorporated,954.58M,9.44,1.74%,217.54M
990,APLT,"Applied Therapeutics, Inc.",952.08M,8.29,-1.43%,-333.00K
991,FWRG,"First Watch Restaurant Group, Inc.",949.72M,15.72,0.19%,964.86M
992,AMAL,Amalgamated Financial Corp.,946.58M,30.89,-0.74%,292.03M
993,HTLD,"Heartland Express, Inc.",945.87M,12.05,1.35%,1.12B
994,NN,NextNav Inc.,939.96M,7.44,0.69%,4.38M
995,KRUS,"Kura Sushi USA, Inc.",939.51M,83.55,1.32%,226.78M
996,CNOB,"ConnectOne Bancorp, Inc.",933.33M,24.4,0.35%,251.24M
997,NYAX,Nayax Ltd.,933.30M,26.11,-0.65%,268.97M
998,XMTR,"Xometry, Inc.",931.70M,18.9,2.11%,502.36M
999,ALGT,Allegiant Travel Company,926.75M,52.39,5.29%,2.50B
1000,AUTL,Autolus Therapeutics plc,926.01M,3.62,3.88%,10.50M
1001,ALGT,Allegiant Travel Company,924.09M,52.24,4.98%,2.50B
1002,WLFC,Willis Lease Finance Corporation,922.73M,140.33,1.25%,481.26M
1003,AMSF,"AMERISAFE, Inc.",922.52M,48.41,-0.15%,309.13M
1004,AVO,"Mission Produce, Inc.",918.29M,12.95,-0.08%,1.14B
1005,PETQ,"PetIQ, Inc.",913.68M,30.8,0.18%,1.13B
1006,RDWR,Radware Ltd.,913.18M,21.75,-1.25%,259.01M
1007,BHRB,Burke & Herbert Financial Services Corp.,911.19M,60.97,-0.96%,124.67M
1008,AMSC,American Superconductor Corporation,909.06M,22.96,4.08%,155.68M
1009,GDEN,"Golden Entertainment, Inc.",908.61M,32.09,-0.99%,829.80M
1010,SCHL,Scholastic Corporation,908.46M,32.14,6.49%,1.60B
1011,DHC,Diversified Healthcare Trust,908.17M,3.78,1.21%,1.46B
1012,FMBH,"First Mid Bancshares, Inc.",906.49M,37.92,-0.16%,304.67M
1013,PRAA,"PRA Group, Inc.",897.53M,22.77,-1.98%,977.66M
1014,CGBD,"Carlyle Secured Lending, Inc.",893.10M,17.56,1.06%,243.46M
1015,PAHC,Phibro Animal Health Corporation,892.29M,22.03,-0.32%,1.02B
1016,IMNM,"Immunome, Inc.",890.01M,14.82,3.35%,10.78M
1017,BRKL,"Brookline Bancorp, Inc.",886.89M,9.98,-0.94%,335.68M
1018,BFC,Bank First Corporation,884.81M,88.36,-0.39%,182.76M
1019,MESO,Mesoblast Limited,884.71M,7.63,2.83%,5.90M
1020,EH,EHang Holdings Limited,884.10M,13.97,0.87%,34.26M
1021,ZYME,Zymeworks Inc.,882.05M,12.42,-0.44%,62.71M
1022,EYE,"National Vision Holdings, Inc.",878.75M,11.18,3.09%,2.16B
1023,GPRE,Green Plains Inc.,872.20M,13.49,2.59%,2.82B
1024,CTBI,"Community Trust Bancorp, Inc.",871.20M,48.26,0.19%,223.50M
1025,JACK,Jack in the Box Inc.,867.75M,45.37,2.63%,1.59B
1026,HSTM,"HealthStream, Inc.",865.41M,28.46,0.64%,285.24M
1027,IMOS,ChipMOS TECHNOLOGIES INC.,862.90M,23.55,0.66%,693.69M
1028,GSM,Ferroglobe PLC,861.45M,4.59,4.45%,1.64B
1029,MNRO,"Monro, Inc.",860.52M,28.76,-,1.24B
1030,MDXG,"MiMedx Group, Inc.",860.30M,5.86,3.72%,340.46M
1031,VMEO,"Vimeo, Inc.",858.00M,5.18,0.29%,421.08M
1032,SLN,Silence Therapeutics plc,850.08M,18.17,4.22%,22.62M
1033,LQDA,Liquidia Corporation,847.58M,10.05,-0.94%,14.84M
1034,LMB,"Limbach Holdings, Inc.",842.72M,74.76,0.44%,511.67M
1035,IGIC,International General Insurance Holdings Ltd.,838.79M,18.98,1.47%,486.49M
1036,CRON,Cronos Group Inc.,837.15M,2.18,-0.66%,101.78M
1037,PFC,Premier Financial Corp.,830.02M,23.16,0.30%,250.95M
1038,CRGX,"CARGO Therapeutics, Inc.",828.35M,18.05,-2.41%,-
1039,DXPE,"DXP Enterprises, Inc.",825.51M,52.29,0.64%,1.68B
1040,PTLO,Portillo's Inc.,823.72M,13.33,0.98%,702.36M
1041,BMBL,Bumble Inc.,823.14M,6.51,1.01%,1.09B
1042,ARKO,Arko Corp.,819.66M,7.08,0.28%,9.32B
1043,EMBC,Embecta Corp.,815.33M,14.13,-2.75%,1.12B
1044,SLRC,SLR Investment Corp.,814.50M,14.93,0.27%,236.51M
1045,HCSG,"Healthcare Services Group, Inc.",813.09M,11.08,0.27%,1.68B
1046,ORKA,"Oruka Therapeutics, Inc.",813.02M,23.23,-2.68%,-
1047,CFB,"CrossFirst Bankshares, Inc.",811.75M,16.47,-0.24%,236.86M
1048,RAPP,"Rapport Therapeutics, Inc.",807.24M,22.07,7.55%,-
1049,MBX,"MBX Biosciences, Inc.",804.55M,24.1,-1.59%,-
1050,STGW,Stagwell Inc.,804.24M,7.2,1.38%,2.61B
1051,SVC,Service Properties Trust,803.73M,4.85,0.52%,1.89B
1052,SHEN,Shenandoah Telecommunications Company,802.22M,14.7,1.03%,308.62M
1053,INNV,InnovAge Holding Corp.,801.52M,5.91,3.50%,763.86M
1054,ATEC,"Alphatec Holdings, Inc.",798.51M,5.69,3.55%,540.28M
1055,TNGX,"Tango Therapeutics, Inc.",795.01M,7.42,0.82%,42.51M
1056,UVSP,Univest Financial Corporation,794.91M,27.25,0.04%,286.64M
1057,DNTH,"Dianthus Therapeutics, Inc.",794.25M,27.06,0.14%,4.12M
1058,STKL,SunOpta Inc.,794.20M,6.65,-2.64%,688.01M
1059,MBUU,"Malibu Boats, Inc.",793.23M,39.68,3.52%,829.04M
1060,EU,enCore Energy Corp.,789.72M,4.11,-3.64%,35.71M
1061,BASE,"Couchbase, Inc.",783.21M,15.26,2.35%,198.82M
1062,SWIM,"Latham Group, Inc.",780.15M,6.75,2.43%,522.40M
1063,NBBK,"NB Bancorp, Inc.",779.38M,18.25,0.11%,141.69M
1064,CSTL,"Castle Biosciences, Inc.",777.32M,28.03,0.09%,287.59M
1065,AVBP,"ArriVent BioPharma, Inc.",773.48M,23.03,-2.04%,-
1066,ETNB,"89bio, Inc.",771.02M,7.28,-1.09%,-
1067,ABCL,AbCellera Biologics Inc.,768.81M,2.61,1.92%,33.05M
1068,LPRO,Open Lending Corporation,768.58M,6.45,5.14%,98.42M
1069,FCBC,"First Community Bankshares, Inc.",767.73M,42.02,0.41%,164.34M
1070,REPL,"Replimune Group, Inc.",767.25M,11.23,0.90%,-
1071,HAIN,"The Hain Celestial Group, Inc.",766.37M,8.53,3.27%,1.74B
1072,ABL,"Abacus Life, Inc.",765.18M,10.25,-1.07%,95.38M
1073,HSII,"Heidrick & Struggles International, Inc.",764.34M,37.62,0.37%,1.06B
1074,ERAS,"Erasca, Inc.",762.43M,2.7,-0.37%,-
1075,BVS,Bioventus Inc.,760.41M,11.67,5.56%,536.89M
1076,BIOA,"BioAge Labs, Inc.",758.51M,22.2,21.25%,-
1077,ORIC,"ORIC Pharmaceuticals, Inc.",756.57M,10.73,3.52%,-
1078,TH,Target Hospitality Corp.,756.25M,7.53,1.55%,479.55M
1079,HAYN,"Haynes International, Inc.",752.03M,59.22,0.03%,614.33M
1080,INDI,"indie Semiconductor, Inc.",751.57M,4.19,3.20%,235.32M
1081,SPTN,SpartanNash Company,751.49M,22.27,-0.13%,9.55B
1082,MCBS,"MetroCity Bankshares, Inc.",751.34M,29.66,0.58%,126.44M
1083,CFFN,"Capitol Federal Financial, Inc.",750.39M,5.79,0.26%,-38.13M
1084,KELYA,"Kelly Services, Inc.",748.71M,21.05,0.24%,4.45B
1085,MNTK,"Montauk Renewables, Inc.",748.29M,5.26,3.75%,184.62M
1086,TREE,"LendingTree, Inc.",747.72M,56.04,0.29%,667.45M
1087,KELYB,"Kelly Services, Inc.",746.97M,21.01,-6.12%,4.45B
1088,TRIN,Trinity Capital Inc.,744.25M,13.95,0.18%,191.01M
1089,ADPT,Adaptive Biotechnologies Corporation,743.26M,5.04,2.85%,168.77M
1090,BJRI,"BJ's Restaurants, Inc.",742.45M,32.07,-1.03%,1.33B
1091,EVER,"EverQuote, Inc.",741.68M,21.14,1.78%,318.92M
1092,PUBM,"PubMatic, Inc.",739.30M,14.91,2.97%,282.25M
1093,HFWA,Heritage Financial Corporation,737.87M,21.39,-0.47%,214.40M
1094,TIGR,UP Fintech Holding Limited,737.03M,4.69,-2.60%,250.01M
1095,CRSR,"Corsair Gaming, Inc.",733.19M,7.04,5.55%,1.38B
1096,DDI,"DoubleDown Interactive Co., Ltd.",730.91M,14.75,4.46%,332.46M
1097,TERN,"Terns Pharmaceuticals, Inc.",729.64M,8.65,-2.32%,-
1098,CDMO,"Avid Bioservices, Inc.",725.35M,11.37,1.79%,142.36M
1099,ABVX,ABIVAX Société Anonyme,724.29M,11.65,0.43%,9.68M
1100,ASTE,"Astec Industries, Inc.",722.32M,31.68,0.92%,1.30B
1101,HCKT,"The Hackett Group, Inc.",721.44M,26.09,0.08%,297.42M
1102,ABUS,Arbutus Biopharma Corporation,721.15M,3.82,-3.53%,10.06M
1103,PGY,Pagaya Technologies Ltd.,719.59M,10.02,3.83%,925.42M
1104,LAB,Standard BioTools Inc.,718.18M,1.94,1.84%,136.30M
1105,TIPT,Tiptree Inc.,715.56M,19.45,0.21%,1.91B
1106,RPAY,Repay Holdings Corporation,715.02M,8.16,0.80%,305.93M
1107,ATEX,Anterix Inc.,714.88M,38.45,0.51%,5.11M
1108,TCPC,BlackRock TCP Capital Corp.,713.83M,8.34,3.22%,232.32M
1109,CCB,Coastal Financial Corporation,712.38M,52.94,1.19%,271.68M
1110,CTKB,"Cytek Biosciences, Inc.",710.13M,5.4,3.85%,197.71M
1111,HEPS,D-Market Elektronik Hizmetler ve Ticaret A.S.,708.65M,2.21,-0.68%,1.20B
1112,GLDD,Great Lakes Dredge & Dock Corporation,704.81M,10.49,-0.85%,667.66M
1113,TTGT,"TechTarget, Inc.",702.31M,24.58,4.02%,224.97M
1114,SVRA,Savara Inc.,702.02M,4.27,0.59%,-
1115,MATW,Matthews International Corporation,700.38M,22.89,0.44%,1.83B
1116,CCAP,"Crescent Capital BDC, Inc.",698.42M,18.85,0.35%,197.42M
1117,PLRX,"Pliant Therapeutics, Inc.",697.39M,11.47,2.69%,-
1118,ATRO,Astronics Corporation,696.34M,19.9,-0.10%,741.40M
1119,OLMA,"Olema Pharmaceuticals, Inc.",695.87M,12.16,-0.49%,-
1120,ORRF,"Orrstown Financial Services, Inc.",695.42M,35.9,0.81%,129.78M
1121,CLNE,Clean Energy Fuels Corp.,692.62M,3.1,3.68%,404.09M
1122,OSBC,"Old Second Bancorp, Inc.",691.36M,15.42,0.29%,264.83M
1123,SRRK,Scholar Rock Holding Corporation,689.08M,8.61,-0.46%,-
1124,MBWM,Mercantile Bank Corporation,687.63M,42.61,-0.30%,220.24M
1125,NCMI,"National CineMedia, Inc.",686.32M,7.2,2.71%,207.60M
1126,GOOD,Gladstone Commercial Corporation,685.11M,16.11,1.75%,145.15M
1127,MLAB,"Mesa Laboratories, Inc.",684.10M,126.47,-0.92%,223.71M
1128,SCWX,SecureWorks Corp.,684.07M,7.7,-0.57%,346.35M
1129,LENZ,"LENZ Therapeutics, Inc.",683.84M,24.87,11.78%,-
1130,KC,Kingsoft Cloud Holdings Limited,683.14M,2.97,6.27%,965.35M
1131,ADSE,ADS-TEC Energy PLC,682.58M,13.27,4.59%,158.97M
1132,HBT,"HBT Financial, Inc.",682.16M,21.62,0.56%,213.79M
1133,CRESY,"Cresud Sociedad Anónima, Comercial, Inmobiliaria, Financiera y Agropecuaria",681.00M,9.1,1.11%,780.02M
1134,ZBIO,"Zenas BioPharma, Inc.",680.45M,17.1,-1.10%,50.00M
1135,LQDT,"Liquidity Services, Inc.",678.74M,22.23,0.05%,336.35M
1136,PCRX,"Pacira BioSciences, Inc.",673.45M,14.6,1.88%,690.31M
1137,IBCP,Independent Bank Corporation,671.41M,32.13,-0.99%,212.03M
1138,DJCO,Daily Journal Corporation,670.81M,487,0.15%,71.61M
1139,LEGH,Legacy Housing Corporation,667.12M,27.62,0.40%,169.39M
1140,CVAC,CureVac N.V.,666.21M,2.97,-1.66%,70.57M
1141,EXAI,Exscientia plc,665.66M,5.15,-2.83%,26.57M
1142,GSBC,"Great Southern Bancorp, Inc.",662.95M,56.77,-0.11%,219.38M
1143,OPT,Opthea Limited,661.70M,3.8,-6.66%,261.86K
1144,EGBN,"Eagle Bancorp, Inc.",658.47M,21.82,-1.27%,244.03M
1145,HUMA,"Humacyte, Inc.",657.61M,5.51,0.73%,-
1146,HBNC,"Horizon Bancorp, Inc.",655.68M,15,-0.86%,180.00M
1147,EVLV,"Evolv Technologies Holdings, Inc.",654.62M,4.16,0.61%,89.22M
1148,PPTA,Perpetua Resources Corp.,652.95M,9.59,-5.43%,-
1149,STOK,"Stoke Therapeutics, Inc.",652.83M,12.4,1.14%,15.16M
1150,ECX,ECARX Holdings Inc.,652.47M,1.93,-,705.23M
1151,IRWD,"Ironwood Pharmaceuticals, Inc.",651.54M,4.08,0.46%,400.57M
1152,FDUS,Fidus Investment Corporation,648.63M,19.56,-0.20%,140.81M
1153,PLPC,Preformed Line Products Company,648.54M,131.99,1.16%,585.67M
1154,ANNX,"Annexon, Inc.",644.63M,6.1,-0.31%,-
1155,CHUY,"Chuy's Holdings, Inc.",644.41M,37.4,0.07%,460.07M
1156,BFST,"Business First Bancshares, Inc.",642.65M,25.2,-0.51%,247.78M
1157,FLGT,"Fulgent Genetics, Inc.",641.08M,21.16,1.20%,290.71M
1158,MREO,Mereo BioPharma Group plc,636.69M,4.15,1.10%,1.00M
1159,THRY,"Thryv Holdings, Inc.",632.22M,17.42,1.25%,877.69M
