No.,Symbol,Company Name,Market Cap,Stock Price,% Change,Revenue
83,GEHC,GE HealthCare Technologies Inc.,42.25B,92.52,0.03%,19.52B
84,IDXX,"IDEXX Laboratories, Inc.",42.06B,511.07,0.40%,3.78B
85,TEAM,Atlassian Corporation,41.94B,161.29,-1.14%,4.36B
86,NDAQ,"Nasdaq, Inc.",41.87B,72.7,0.19%,6.57B
87,FAST,Fastenal Company,40.96B,71.53,-0.16%,7.42B
88,EXC,Exelon Corporation,40.52B,40.5,1.41%,22.75B
89,TCOM,Trip.com Group Limited,40.07B,61.54,8.57%,6.71B
90,DDOG,"Datadog, Inc.",38.55B,114.33,0.11%,2.39B
91,EA,Electronic Arts Inc.,38.12B,144.29,0.47%,7.30B
92,CTSH,Cognizant Technology Solutions Corporation,38.12B,76.9,-0.39%,19.27B
93,VRSK,"Verisk Analytics, Inc.",37.76B,265.1,0.04%,2.78B
94,BIDU,"Baidu, Inc.",37.02B,105.59,2.95%,18.56B
95,CCEP,Coca-Cola Europacific Partners PLC,36.69B,79.35,0.38%,20.52B
96,XEL,Xcel Energy Inc.,36.02B,64.61,0.98%,13.78B
97,BKR,Baker Hughes Company,35.59B,35.83,3.03%,27.03B
98,MSTR,MicroStrategy Incorporated,35.48B,175.1,5.49%,480.63M
99,ALNY,"Alnylam Pharmaceuticals, Inc.",35.29B,274.87,0.11%,2.34B
100,LULU,Lululemon Athletica Inc.,34.45B,280.58,4.38%,9.99B
101,ON,ON Semiconductor Corporation,31.93B,74.53,1.65%,7.80B
102,ARGX,argenx SE,31.85B,538.57,2.67%,1.66B
103,FER,Ferrovial SE,31.55B,43.3,0.10%,9.47B
104,EBAY,eBay Inc.,31.25B,63.92,-0.04%,10.19B
105,TSCO,Tractor Supply Company,30.96B,287.04,0.62%,14.71B
106,CSGP,"CoStar Group, Inc.",30.72B,74.96,0.31%,2.60B
107,CDW,CDW Corporation,30.24B,226.43,-0.96%,20.94B
108,AXON,"Axon Enterprise, Inc.",29.83B,394.71,0.37%,1.81B
109,WTW,Willis Towers Watson Public Limited Company,29.77B,293.12,0.67%,9.69B
110,FITB,Fifth Third Bancorp,29.03B,42.94,0.06%,8.13B
111,BIIB,Biogen Inc.,28.44B,195.23,0.84%,9.67B
112,ANSS,"ANSYS, Inc.",28.33B,324.15,-0.21%,2.32B
113,ERIE,Erie Indemnity Company,28.31B,541.34,0.64%,3.55B
114,BNTX,BioNTech SE,28.19B,118.57,0.79%,2.88B
115,FSLR,"First Solar, Inc.",27.46B,256.5,0.33%,3.76B
116,DXCM,"DexCom, Inc.",27.12B,67.67,0.21%,3.93B
117,FCNCO,"First Citizens BancShares, Inc.",26.96B,24.78,0.30%,9.44B
118,TTWO,"Take-Two Interactive Software, Inc.",26.79B,152.83,0.75%,5.40B
119,FCNCA,"First Citizens BancShares, Inc.",26.68B,"1,844.36",-1.72%,9.44B
120,VOD,Vodafone Group Public Limited Company,26.50B,10.07,0.29%,39.61B
121,ZS,"Zscaler, Inc.",26.23B,172.04,0.65%,2.17B
122,TW,Tradeweb Markets Inc.,26.09B,122.35,0.57%,1.51B
123,LI,Li Auto Inc.,25.75B,25.81,1.73%,18.40B
124,ERIC,Telefonaktiebolaget LM Ericsson (publ),25.70B,7.71,-0.80%,23.54B
125,SBAC,SBA Communications Corporation,25.58B,238,0.74%,2.68B
126,MRNA,"Moderna, Inc.",25.26B,65.71,2.78%,5.05B
127,NTAP,"NetApp, Inc.",24.93B,121.74,-2.18%,6.38B
128,SMCI,"Super Micro Computer, Inc.",24.65B,421.03,4.63%,14.94B
129,TROW,"T. Rowe Price Group, Inc.",24.43B,109.74,0.33%,6.80B
130,WDC,Western Digital Corporation,23.87B,69.51,-1.35%,13.00B
131,ICLR,ICON Public Limited Company,23.68B,285.9,-0.08%,8.33B
132,BGNE,"BeiGene, Ltd.",23.39B,220,3.51%,3.10B
133,STX,Seagate Technology Holdings plc,23.00B,109.26,-1.35%,6.55B
134,GFS,GlobalFoundries Inc.,22.64B,41.03,0.66%,6.89B
135,TER,"Teradyne, Inc.",22.06B,135.22,-1.60%,2.70B
136,COO,"The Cooper Companies, Inc.",21.86B,109.77,0.21%,3.80B
137,PTC,PTC Inc.,21.75B,181.05,0.02%,2.22B
138,ZM,"Zoom Video Communications, Inc.",21.33B,69.3,0.57%,4.59B
139,HBAN,Huntington Bancshares Incorporated,21.30B,14.67,0.72%,6.71B
140,CHKP,Check Point Software Technologies Ltd.,21.29B,193.54,-0.75%,2.49B
141,CINF,Cincinnati Financial Corporation,21.17B,135.48,0.39%,10.65B
142,HOOD,"Robinhood Markets, Inc.",20.97B,23.71,5.68%,2.24B
143,ILMN,"Illumina, Inc.",20.93B,131.42,-0.65%,4.43B
144,RYAAY,Ryanair Holdings plc,20.82B,113.27,-3.76%,14.38B
145,WBD,"Warner Bros. Discovery, Inc.",20.63B,8.42,1.39%,39.93B
146,MDB,"MongoDB, Inc.",19.98B,270.51,-0.79%,1.82B
147,PFG,"Principal Financial Group, Inc.",19.96B,86.18,0.22%,15.65B
148,DKNG,DraftKings Inc.,19.55B,40.27,-1.63%,4.30B
149,STLD,"Steel Dynamics, Inc.",19.50B,126.39,0.92%,18.15B
150,KSPI,Joint Stock Company Kaspi.kz,19.50B,102.64,-1.42%,4.70B
151,FOXA,Fox Corporation,19.50B,42.38,0.18%,13.98B
152,EXPE,"Expedia Group, Inc.",19.42B,149.19,0.47%,13.26B
153,UAL,"United Airlines Holdings, Inc.",19.28B,58.63,-0.37%,55.64B
154,ULTA,"Ulta Beauty, Inc.",19.08B,404.9,-0.30%,11.32B
155,ZBRA,Zebra Technologies Corporation,19.07B,369.66,-0.43%,4.36B
